DATE,AWND,PRCP,TMAX,TMIN
1/1/2024,8.95,0,47,33
1/2/2024,4.03,0,52,26
1/3/2024,3.58,0,44,25
1/4/2024,6.93,0,52,28
1/5/2024,5.59,0.12,51,28
1/6/2024,5.37,0.76,48,37
1/7/2024,9.17,0,48,29
1/8/2024,5.59,0.42,50,26
1/9/2024,11.41,2.39,53,39
1/10/2024,10.07,0,49,35
1/11/2024,2.46,0,61,28
1/12/2024,4.7,0.05,50,40
1/13/2024,9.62,0,48,28
1/14/2024,4.25,0,55,24
1/15/2024,3.13,0,59,37
1/16/2024,14.54,0,45,16
1/17/2024,6.71,0,36,12
1/18/2024,3.58,0,50,18
1/19/2024,14.99,0.02,47,25
1/20/2024,13.65,0,29,15
1/21/2024,2.24,0,41,11
1/22/2024,3.36,0,48,22
1/23/2024,4.03,0.05,49,39
1/24/2024,3.13,0.51,60,47
1/25/2024,3.8,1.13,72,59
1/26/2024,3.13,0,66,55
1/27/2024,5.14,0.53,64,54
1/28/2024,14.32,0,57,43
1/29/2024,12.08,0,51,37
1/30/2024,4.7,0.01,59,29
1/31/2024,9.17,0.01,54,37
2/1/2024,3.13,0,60,28
2/2/2024,4.47,0,68,36
2/3/2024,5.14,0,60,39
2/4/2024,7.61,0.43,48,40
2/5/2024,5.37,0.02,61,37
2/6/2024,1.34,0,63,30
2/7/2024,1.12,0,59,32
2/8/2024,1.79,0,56,33
2/9/2024,2.01,0,63,44
2/10/2024,3.58,0.05,65,47
2/11/2024,6.26,0.75,65,59
2/12/2024,8.72,2.02,60,48
2/13/2024,13.2,0,54,38
2/14/2024,3.13,0,64,33
2/15/2024,3.8,0,67,32
2/16/2024,5.14,0,63,43
2/17/2024,13.2,0.01,56,35
2/18/2024,6.26,0,51,29
2/19/2024,3.13,0,60,33
2/20/2024,1.12,0,61,28
2/21/2024,2.91,0,65,30
2/22/2024,7.16,0,70,37
2/23/2024,11.41,0.3,65,52
2/24/2024,10.29,0,63,39
2/25/2024,2.01,0,61,29
2/26/2024,6.71,0,72,35
2/27/2024,10.07,0,71,56
2/28/2024,17,0.28,74,41
2/29/2024,4.7,0,53,36
3/1/2024,5.82,1.44,47,38
3/2/2024,2.01,0,62,42
3/3/2024,2.24,0,71,47
3/4/2024,2.68,0,66,53
3/5/2024,3.13,0.75,60,51
3/6/2024,5.59,1.93,61,54
3/7/2024,3.13,0,75,48
3/8/2024,5.37,1.09,65,57
3/9/2024,7.61,0.38,66,50
3/10/2024,15.21,0,58,42
3/11/2024,5.37,0,65,35
3/12/2024,2.68,0,70,33
3/13/2024,3.13,0,74,38
3/14/2024,3.36,0,80,45
3/15/2024,6.93,0.16,72,59
3/16/2024,7.61,0,71,55
3/17/2024,8.05,0.01,68,51
3/18/2024,11.41,0,57,37
3/19/2024,9.17,0,59,31
3/20/2024,6.71,0,72,38
3/21/2024,1.57,0,75,42
3/22/2024,4.47,0.52,64,55
3/23/2024,11.18,0,68,45
3/24/2024,4.25,0,65,34
3/25/2024,6.04,0,62,45
3/26/2024,5.14,0.58,60,51
3/27/2024,7.38,0,72,51
3/28/2024,12.53,0,67,47
3/29/2024,1.79,0,70,34
3/30/2024,6.49,0,76,40
3/31/2024,7.16,0,78,50
4/1/2024,7.61,0,75,61
4/2/2024,9.84,0.41,79,62
4/3/2024,11.86,0.3,66,49
4/4/2024,11.86,0,62,42
4/5/2024,10.29,0,61,41
4/6/2024,5.14,0,64,36
4/7/2024,2.24,0,72,37
4/8/2024,3.36,0,75,50
4/9/2024,2.68,0.23,64,56
4/10/2024,4.7,0.1,71,58
4/11/2024,13.65,0.03,75,54
4/12/2024,12.97,0,67,49
4/13/2024,7.83,0,76,44
4/14/2024,5.14,0,83,47
4/15/2024,6.04,0,83,56
4/16/2024,3.36,0,82,56
4/17/2024,5.82,0.03,78,61
4/18/2024,3.58,0,86,52
4/19/2024,5.82,0.06,83,64
4/20/2024,8.05,0.12,79,55
4/21/2024,9.17,0.04,58,47
4/22/2024,5.82,0,66,41
4/23/2024,4.7,,72,38
4/24/2024,5.59,0,75,50
4/25/2024,1.79,0,78,48
4/26/2024,4.47,0,80,55
4/27/2024,3.8,0,74,58
4/28/2024,4.92,0,77,59
4/29/2024,3.8,0,77,54
4/30/2024,3.58,0.11,77,58
5/1/2024,2.01,0,84,51
5/2/2024,2.68,0,86,54
5/3/2024,4.03,0.01,86,66
5/4/2024,2.91,0.16,78,64
5/5/2024,2.46,1.04,85,62
5/6/2024,5.59,0,86,65
5/7/2024,6.49,0,83,65
5/8/2024,7.16,0,86,69
5/9/2024,7.83,0.48,77,64
5/10/2024,10.51,0.13,81,59
5/11/2024,6.49,0,74,50
5/12/2024,2.24,0,79,53
5/13/2024,2.46,0.04,66,59
5/14/2024,1.79,0.09,75,61
5/15/2024,8.05,0.01,80,61
5/16/2024,6.49,0,82,58
5/17/2024,4.92,0.01,72,62
5/18/2024,4.25,0.11,78,62
5/19/2024,3.58,0,82,61
5/20/2024,1.57,0,85,58
5/21/2024,2.46,0,85,63
5/22/2024,4.25,0,87,63
5/23/2024,4.7,0,88,65
5/24/2024,3.13,0.04,88,67
5/25/2024,3.36,0.04,84,66
5/26/2024,6.26,0,91,67
5/27/2024,7.38,,86,64
5/28/2024,7.38,0,85,63
5/29/2024,8.5,0,83,64
5/30/2024,3.8,0,81,57
5/31/2024,3.58,0,80,54
6/1/2024,4.25,0,77,63
6/2/2024,3.8,0.22,83,64
6/3/2024,3.36,0.03,86,66
6/4/2024,3.58,0.21,84,65
6/5/2024,4.92,0.04,84,70
6/6/2024,6.49,0.01,85,66
6/7/2024,8.05,0,85,67
6/8/2024,2.68,0,87,55
6/9/2024,7.38,0,91,64
6/10/2024,6.26,0.08,84,63
6/11/2024,4.25,0,87,57
6/12/2024,1.79,0,88,61
6/13/2024,2.01,0,90,70
6/14/2024,2.91,0,94,65
6/15/2024,1.57,0,96,69
6/16/2024,3.8,0,94,72
6/17/2024,3.8,0,91,73
6/18/2024,4.25,0,88,72
6/19/2024,4.47,0,88,69
6/20/2024,2.91,0,90,70
6/21/2024,1.79,0,93,65
6/22/2024,1.12,0,96,69
6/23/2024,5.14,0,97,72
6/24/2024,7.83,0.03,96,72
6/25/2024,1.79,0,97,64
6/26/2024,5.14,0,100,66
6/27/2024,3.58,0.33,91,72
6/28/2024,3.13,0,90,72
6/29/2024,3.8,0.06,93,74
6/30/2024,7.61,0,98,75
7/1/2024,4.92,0,98,75
7/2/2024,5.14,0,89,74
7/3/2024,2.91,0,93,75
7/4/2024,4.03,0.85,97,74
7/5/2024,3.58,0.08,91,75
7/6/2024,3.36,0.07,93,74
7/7/2024,3.58,2.67,92,72
7/8/2024,3.13,0,91,72
7/9/2024,5.82,0.39,93,73
7/10/2024,8.95,0,86,72
7/11/2024,4.47,0,90,69
7/12/2024,1.79,0,94,69
7/13/2024,2.01,0,96,71
7/14/2024,2.68,0,97,72
7/15/2024,3.36,0.01,95,73
7/16/2024,5.37,0.06,91,72
7/17/2024,6.93,0.02,92,72
7/18/2024,5.59,0.77,90,71
7/19/2024,2.91,0.48,86,71
7/20/2024,2.46,0.82,83,70
7/21/2024,4.7,0.02,87,71
7/22/2024,5.59,0,87,70
7/23/2024,4.25,0.83,90,73
7/24/2024,2.24,0.5,87,71
7/25/2024,4.47,0.04,86,72
7/26/2024,3.58,0,89,73
7/27/2024,2.01,0,85,71
7/28/2024,2.91,0.31,83,71
7/29/2024,4.7,0.26,85,71
7/30/2024,6.26,0.02,90,70
7/31/2024,6.04,0.01,92,70
8/1/2024,4.03,0,94,73
8/2/2024,6.71,0.17,92,74
8/3/2024,4.25,0.01,89,71
8/4/2024,1.12,0.25,91,72
8/5/2024,4.92,0,90,73
8/6/2024,6.93,0,91,74
8/7/2024,5.59,0,94,71
8/8/2024,8.05,0,94,74
8/9/2024,6.71,0,94,74
8/10/2024,5.37,0,93,70
8/11/2024,5.37,0,92,68
8/12/2024,4.47,0,92,66
8/13/2024,5.82,0,92,67
8/14/2024,1.12,0,91,72
8/15/2024,2.46,0,90,70
8/16/2024,4.92,0.64,91,69
8/17/2024,4.25,0.06,94,70
8/18/2024,5.37,0,89,70
8/19/2024,8.05,0,88,67
8/20/2024,5.59,0,88,65
8/21/2024,3.8,0,84,63
8/22/2024,3.13,0,84,67
8/23/2024,2.68,0,84,62
8/24/2024,2.01,0,88,62
8/25/2024,2.01,0,90,60
8/26/2024,2.46,0,92,60
8/27/2024,1.57,0,94,60
8/28/2024,0.89,0,96,67
8/29/2024,2.24,0,98,71
8/30/2024,2.01,0.94,95,71
8/31/2024,3.13,0.28,92,70
9/1/2024,3.13,0,91,70
9/2/2024,3.8,0,91,68
9/3/2024,5.59,0,85,70
9/4/2024,4.92,0,82,63
9/5/2024,3.8,0,84,68
9/6/2024,2.24,0.03,79,67
9/7/2024,6.93,0,86,63
9/8/2024,3.58,0,83,57
9/9/2024,2.91,0,86,63
9/10/2024,2.24,0,85,60
9/11/2024,3.8,0,78,64
9/12/2024,5.82,0.09,73,65
9/13/2024,4.47,0.02,73,65
9/14/2024,5.82,0.03,73,68
9/15/2024,6.04,0,80,70
9/16/2024,4.92,0,82,62
9/17/2024,7.61,0,76,60
9/18/2024,2.68,0,82,63
9/19/2024,1.34,0,88,62
9/20/2024,1.12,0,93,63
9/21/2024,1.79,0,93,63
9/22/2024,4.47,0,94,67
9/23/2024,2.46,0,94,68
9/24/2024,5.59,0,93,71
9/25/2024,4.47,2.78,81,64
9/26/2024,2.24,5.43,72,65
9/27/2024,13.2,2.77,74,65
9/28/2024,8.05,0.01,76,64
9/29/2024,2.91,0,79,62
9/30/2024,3.13,0.03,78,62
10/1/2024,5.37,0,82,64
10/2/2024,1.57,0,85,61
10/3/2024,2.01,0,84,63
10/4/2024,0.67,0,80,65
10/5/2024,2.01,0,85,63
10/6/2024,1.79,0,85,62
10/7/2024,5.82,0,85,60
10/8/2024,2.01,0,80,53
10/9/2024,1.79,0,79,58
10/10/2024,3.58,0,77,53
10/11/2024,1.79,0,75,46
10/12/2024,2.91,0,78,45
10/13/2024,5.82,0,82,49
10/14/2024,9.84,0,70,49
10/15/2024,6.71,0,67,43
10/16/2024,8.28,0,62,40
10/17/2024,1.12,0,65,35
10/18/2024,1.79,0,68,37
10/19/2024,2.46,0,72,40
10/20/2024,1.57,0,77,39
10/21/2024,1.12,0,79,43
10/22/2024,0.89,0,78,44
10/23/2024,2.24,0,80,49
10/24/2024,2.91,0,82,51
10/25/2024,0.67,0,82,47
10/26/2024,3.13,0,84,53
10/27/2024,3.58,0,72,56
10/28/2024,2.68,0,67,52
10/29/2024,3.36,0,74,53
10/30/2024,2.91,0,76,60
10/31/2024,2.91,0,79,58
11/1/2024,2.91,0,74,58
11/2/2024,1.34,0,79,56
11/3/2024,3.8,0,64,58
11/4/2024,5.59,0.02,60,56
11/5/2024,3.8,0,76,59
11/6/2024,2.68,0.02,72,66
11/7/2024,2.91,0,73,61
11/8/2024,2.24,0,81,60
11/9/2024,3.36,0,74,55
11/10/2024,5.59,0.06,64,54
11/11/2024,3.36,0,72,51
11/12/2024,1.34,0,76,42
11/13/2024,6.26,0.01,64,50
11/14/2024,3.58,0.88,52,46
11/15/2024,6.71,0,65,46
11/16/2024,1.57,0,70,37
11/17/2024,1.12,0,70,40
11/18/2024,2.24,0,74,43
11/19/2024,3.8,0.85,61,55
11/20/2024,8.72,0.74,71,47
11/21/2024,10.51,0,57,37
11/22/2024,11.63,0,52,38
11/23/2024,8.72,0,58,40
11/24/2024,2.91,0,66,35
11/25/2024,4.7,0,72,37
11/26/2024,6.49,0.18,62,40
11/27/2024,2.01,0.02,63,36
11/28/2024,12.53,0.01,64,41
11/29/2024,10.51,0,49,34
11/30/2024,6.26,0,49,29
12/1/2024,4.92,0,53,25
12/2/2024,6.71,0,48,30
12/3/2024,7.83,0,43,26
12/4/2024,4.92,0,51,22
12/5/2024,13.65,0,56,29
12/6/2024,7.16,0,44,21
12/7/2024,4.47,0,55,27
12/8/2024,2.24,0.01,59,31
12/9/2024,2.24,0.31,63,47
12/10/2024,5.82,1.26,66,62
12/11/2024,12.97,0.45,62,38
12/12/2024,4.92,0,53,32
12/13/2024,1.79,0,58,28
12/14/2024,5.37,0,58,43
12/15/2024,4.47,0.09,49,42
12/16/2024,1.79,0,63,43
12/17/2024,3.36,0,69,47
12/18/2024,4.47,0,71,44
12/19/2024,7.16,0,55,38
12/20/2024,11.41,0,56,33
12/21/2024,8.95,0,46,29
12/22/2024,2.68,0,48,27
12/23/2024,3.58,0,48,29
12/24/2024,0.89,0,59,24
12/25/2024,2.68,0,59,28
12/26/2024,3.8,0,50,43
12/27/2024,5.37,0.25,47,42
12/28/2024,4.25,0.51,55,44
12/29/2024,8.5,0.99,63,47
12/30/2024,2.46,0,64,40
12/31/2024,13.65,0,71,43
